,step,vertical_idx,horizontal_idx
0,5,2,3
1,15,0,4
2,15,4,4
3,16,0,3
4,22,4,3
5,24,2,2
6,25,1,1
7,28,3,2
8,30,1,4
9,33,0,3
10,38,2,1
11,42,4,4
12,47,0,3
13,60,1,3
14,65,0,4
15,68,2,1
16,69,2,3
17,71,0,1
18,72,3,4
19,73,2,4
20,82,2,2
21,89,0,4
22,93,1,4
23,104,4,4
24,114,2,3
25,118,3,3
26,121,0,3
27,123,1,3
28,125,3,2
29,128,1,3
30,128,2,4
31,131,1,0
32,131,1,3
33,132,0,4
34,136,0,0
35,138,0,4
36,138,3,3
37,139,3,3
38,140,2,1
39,143,1,1
40,144,3,4
41,147,4,1
42,147,4,3
43,148,3,2
44,151,3,4
45,154,2,4
46,154,3,3
47,155,1,2
48,157,2,2
49,161,0,2
50,174,4,4
51,177,4,2
52,178,1,2
53,179,4,2
54,180,3,2
55,182,3,3
56,185,1,3
57,189,3,1
58,200,1,4
59,200,3,4
