Best score of 187.43 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.0001, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 5, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 2, 2, 2, 2, 4, 4, 4, 4, 3, 2, 4, 1, 0, 3, 3, 2, 1, 1, 4, 3, 2, 1, 4, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 2, 3, 3, 4, 4, 2, 2, 3, 2, 4, 4, 1, 4, 1, 2, 2, 3, 4, 4, 1, 1, 2, 2, 4, 4, 3, 3, 3, 3, 1, 1, 3, 2, 1, 4, 3, 2, 1, 4, 3, 3, 3, 1, 1, 2, 2, 2, 2, 3, 4, 1, 4, 4, 4, 0, 2, 3, 3, 2, 4, 1, 1, 4, 1, 3, 2, 2, 3, 2, 1, 4, 4, 4, 4, 4, 0, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 1, 4, 1, 2, 1, 4, 3, 3, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 3, 0, 4, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 0, 0, 0, 2, 2, 3, 3, 1, 1, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 3, 4, 3, 2, 2, 2, 2, 1, 0, 3, 4, 4, 4, 4, 0]

Score history:
episode: 0 | episode reward: -105.70 | validation reward: -102.10 | actor loss: 2.43 | actions: [55.0, 31.0, 44.8, 26.8, 42.4]
episode: 1 | episode reward: -105.70 | validation reward: None | actor loss: 0.20 | actions: [50.4, 31.2, 46.2, 27.8, 44.4]
episode: 2 | episode reward: -98.40 | validation reward: None | actor loss: -0.02 | actions: [53.0, 25.6, 49.8, 26.0, 45.6]
episode: 3 | episode reward: -91.70 | validation reward: None | actor loss: 0.02 | actions: [50.8, 31.2, 47.6, 26.0, 44.4]
episode: 4 | episode reward: -100.50 | validation reward: None | actor loss: 0.21 | actions: [53.2, 35.0, 48.0, 21.8, 42.0]
episode: 5 | episode reward: -85.40 | validation reward: -84.09 | actor loss: -0.09 | actions: [58.8, 27.2, 41.8, 27.6, 44.6]
episode: 6 | episode reward: -74.30 | validation reward: None | actor loss: -0.23 | actions: [58.0, 36.0, 45.6, 19.2, 41.2]
episode: 7 | episode reward: -69.10 | validation reward: None | actor loss: 0.06 | actions: [59.4, 32.2, 46.0, 22.4, 40.0]
episode: 8 | episode reward: -75.50 | validation reward: None | actor loss: 0.26 | actions: [58.0, 37.0, 44.6, 21.6, 38.8]
episode: 9 | episode reward: -68.50 | validation reward: None | actor loss: -0.03 | actions: [61.8, 36.6, 41.4, 21.8, 38.4]
episode: 10 | episode reward: -60.50 | validation reward: -62.38 | actor loss: -0.16 | actions: [60.2, 32.0, 45.8, 22.0, 40.0]
episode: 11 | episode reward: -56.20 | validation reward: None | actor loss: -0.06 | actions: [58.0, 39.4, 47.8, 18.8, 36.0]
episode: 12 | episode reward: -57.80 | validation reward: None | actor loss: 0.14 | actions: [66.6, 40.4, 40.2, 19.6, 33.2]
episode: 13 | episode reward: -48.40 | validation reward: None | actor loss: 0.15 | actions: [64.6, 35.2, 37.6, 21.2, 41.4]
episode: 14 | episode reward: -44.60 | validation reward: None | actor loss: -0.15 | actions: [63.6, 39.6, 38.6, 21.6, 36.6]
episode: 15 | episode reward: -40.60 | validation reward: -36.35 | actor loss: 0.04 | actions: [70.0, 38.2, 39.4, 19.0, 33.4]
episode: 16 | episode reward: -39.30 | validation reward: None | actor loss: 0.05 | actions: [65.0, 40.2, 47.0, 18.2, 29.6]
episode: 17 | episode reward: -39.30 | validation reward: None | actor loss: 0.11 | actions: [60.8, 43.0, 47.2, 16.4, 32.6]
episode: 18 | episode reward: -37.40 | validation reward: None | actor loss: 0.00 | actions: [65.0, 48.0, 53.6, 13.0, 20.4]
episode: 19 | episode reward: -29.80 | validation reward: None | actor loss: -0.13 | actions: [69.8, 40.0, 42.0, 25.0, 23.2]
episode: 20 | episode reward: -27.50 | validation reward: -19.57 | actor loss: 0.12 | actions: [63.6, 51.8, 44.6, 16.0, 24.0]
episode: 21 | episode reward: -12.60 | validation reward: None | actor loss: -0.40 | actions: [63.4, 54.0, 52.4, 12.2, 18.0]
episode: 22 | episode reward: -4.90 | validation reward: None | actor loss: -0.20 | actions: [70.2, 61.4, 41.0, 12.2, 15.2]
episode: 23 | episode reward: -14.90 | validation reward: None | actor loss: 0.33 | actions: [64.2, 52.4, 46.8, 23.0, 13.6]
episode: 24 | episode reward: -6.80 | validation reward: None | actor loss: -0.11 | actions: [71.0, 54.8, 41.4, 15.0, 17.8]
episode: 25 | episode reward: -11.50 | validation reward: -4.02 | actor loss: 0.14 | actions: [68.8, 54.0, 52.8, 10.6, 13.8]
episode: 26 | episode reward: -0.70 | validation reward: None | actor loss: -0.15 | actions: [62.8, 60.2, 48.8, 11.8, 16.4]
episode: 27 | episode reward: -10.80 | validation reward: None | actor loss: 0.15 | actions: [64.0, 60.6, 59.4, 9.6, 6.4]
episode: 28 | episode reward: 1.70 | validation reward: None | actor loss: -0.33 | actions: [71.8, 54.6, 50.6, 8.6, 14.4]
episode: 29 | episode reward: -4.10 | validation reward: None | actor loss: 0.13 | actions: [69.0, 62.8, 55.2, 4.6, 8.4]
episode: 30 | episode reward: -0.50 | validation reward: 0.93 | actor loss: -0.10 | actions: [64.0, 69.8, 59.0, 1.8, 5.4]
episode: 31 | episode reward: 0.70 | validation reward: None | actor loss: -0.02 | actions: [70.4, 59.8, 49.8, 5.8, 14.2]
episode: 32 | episode reward: 8.50 | validation reward: None | actor loss: -0.12 | actions: [69.4, 62.4, 55.8, 4.0, 8.4]
episode: 33 | episode reward: -4.70 | validation reward: None | actor loss: 0.41 | actions: [76.6, 51.8, 47.2, 10.2, 14.2]
episode: 34 | episode reward: -5.90 | validation reward: None | actor loss: 0.11 | actions: [70.2, 53.4, 50.2, 13.2, 13.0]
episode: 35 | episode reward: 3.70 | validation reward: 4.67 | actor loss: -0.27 | actions: [70.0, 47.8, 41.4, 21.2, 19.6]
episode: 36 | episode reward: 2.60 | validation reward: None | actor loss: 0.12 | actions: [74.0, 41.0, 31.0, 29.4, 24.6]
episode: 37 | episode reward: 17.30 | validation reward: None | actor loss: -0.41 | actions: [71.0, 54.2, 43.8, 12.2, 18.8]
episode: 38 | episode reward: 11.10 | validation reward: None | actor loss: 0.29 | actions: [82.8, 42.6, 39.8, 8.6, 26.2]
episode: 39 | episode reward: 5.50 | validation reward: None | actor loss: 0.14 | actions: [77.0, 47.2, 50.8, 8.4, 16.6]
episode: 40 | episode reward: 21.30 | validation reward: 7.43 | actor loss: -0.13 | actions: [71.8, 43.6, 46.2, 17.0, 21.4]
episode: 41 | episode reward: 12.20 | validation reward: None | actor loss: 0.26 | actions: [76.0, 37.8, 41.6, 19.6, 25.0]
episode: 42 | episode reward: 8.50 | validation reward: None | actor loss: 0.14 | actions: [77.6, 48.0, 49.0, 5.6, 19.8]
episode: 43 | episode reward: -0.30 | validation reward: None | actor loss: 0.17 | actions: [68.4, 54.6, 61.8, 3.0, 12.2]
episode: 44 | episode reward: 14.00 | validation reward: None | actor loss: -0.42 | actions: [73.6, 44.2, 50.0, 8.2, 24.0]
episode: 45 | episode reward: 23.60 | validation reward: 15.43 | actor loss: 0.41 | actions: [79.0, 16.0, 29.0, 34.2, 41.8]
episode: 46 | episode reward: 11.50 | validation reward: None | actor loss: 0.03 | actions: [66.0, 33.4, 56.4, 17.6, 26.6]
episode: 47 | episode reward: 7.50 | validation reward: None | actor loss: 0.11 | actions: [66.8, 52.0, 63.4, 5.6, 12.2]
episode: 48 | episode reward: 31.60 | validation reward: None | actor loss: -0.36 | actions: [70.0, 39.0, 44.6, 17.0, 29.4]
episode: 49 | episode reward: 27.40 | validation reward: None | actor loss: -0.07 | actions: [68.6, 38.8, 53.6, 15.2, 23.8]
episode: 50 | episode reward: 17.20 | validation reward: 25.31 | actor loss: 0.15 | actions: [83.4, 32.8, 42.6, 19.6, 21.6]
episode: 51 | episode reward: 18.70 | validation reward: None | actor loss: -0.04 | actions: [75.4, 40.0, 38.8, 22.4, 23.4]
episode: 52 | episode reward: 37.50 | validation reward: None | actor loss: -0.08 | actions: [70.6, 33.6, 56.4, 12.0, 27.4]
episode: 53 | episode reward: 30.70 | validation reward: None | actor loss: 0.04 | actions: [84.2, 27.4, 39.2, 27.4, 21.8]
episode: 54 | episode reward: 38.00 | validation reward: None | actor loss: -0.14 | actions: [75.2, 30.4, 44.6, 20.2, 29.6]
episode: 55 | episode reward: 15.60 | validation reward: 38.63 | actor loss: -0.13 | actions: [68.2, 51.0, 57.6, 7.0, 16.2]
episode: 56 | episode reward: 15.90 | validation reward: None | actor loss: -0.12 | actions: [70.6, 50.4, 58.0, 6.2, 14.8]
episode: 57 | episode reward: 33.00 | validation reward: None | actor loss: 0.07 | actions: [74.6, 36.2, 50.8, 14.0, 24.4]
episode: 58 | episode reward: 10.30 | validation reward: None | actor loss: 0.40 | actions: [74.4, 37.6, 45.4, 19.8, 22.8]
episode: 59 | episode reward: 3.70 | validation reward: None | actor loss: 0.05 | actions: [67.2, 45.4, 57.6, 15.2, 14.6]
episode: 60 | episode reward: 17.90 | validation reward: 30.52 | actor loss: -0.29 | actions: [71.8, 34.2, 59.8, 12.6, 21.6]
episode: 61 | episode reward: 41.70 | validation reward: None | actor loss: -0.50 | actions: [73.0, 43.0, 55.6, 6.0, 22.4]
episode: 62 | episode reward: 35.60 | validation reward: None | actor loss: 0.33 | actions: [70.2, 38.6, 67.2, 5.2, 18.8]
episode: 63 | episode reward: 56.40 | validation reward: None | actor loss: -0.12 | actions: [68.8, 26.8, 48.8, 20.4, 35.2]
episode: 64 | episode reward: 84.10 | validation reward: None | actor loss: -0.09 | actions: [75.6, 20.2, 44.2, 12.8, 47.2]
episode: 65 | episode reward: 42.50 | validation reward: 49.97 | actor loss: 0.46 | actions: [72.4, 32.4, 52.2, 10.0, 33.0]
episode: 66 | episode reward: 59.40 | validation reward: None | actor loss: -0.18 | actions: [68.0, 28.0, 46.0, 15.8, 42.2]
episode: 67 | episode reward: 72.40 | validation reward: None | actor loss: -0.19 | actions: [77.4, 21.4, 43.6, 12.0, 45.6]
