Best score of 198.93 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.005, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 10, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 3, 2, 2, 2, 4, 4, 4, 1, 3, 2, 4, 1, 4, 3, 3, 2, 0, 1, 4, 1, 3, 2, 4, 1, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 3, 2, 2, 3, 4, 4, 4, 2, 1, 4, 3, 0, 2, 2, 1, 4, 4, 3, 1, 1, 2, 2, 3, 4, 4, 3, 3, 3, 1, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 2, 2, 2, 2, 4, 4, 4, 1, 4, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 4, 0, 4, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 2, 2, 4, 4, 1, 4, 2, 4, 1, 1, 3, 3, 4, 4, 4, 4, 4, 1, 3, 4, 0, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 4, 0, 4, 2, 2, 2, 2, 4, 4, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 4, 3, 3, 2, 2, 2, 2, 1, 3, 4, 4, 4, 4, 0, 0]

Score history:
episode: 0 | episode reward: -84.70 | validation reward: -84.52 | actor loss: 1.87 | actions: [31.2, 27.1, 32.3, 83.0, 26.4]
episode: 1 | episode reward: -73.60 | validation reward: None | actor loss: 0.00 | actions: [30.6, 28.2, 26.8, 91.9, 22.5]
episode: 2 | episode reward: -73.20 | validation reward: None | actor loss: 0.01 | actions: [30.9, 24.2, 28.1, 94.3, 22.5]
episode: 3 | episode reward: -75.90 | validation reward: None | actor loss: 0.15 | actions: [29.5, 23.7, 29.2, 94.2, 23.4]
episode: 4 | episode reward: -63.00 | validation reward: None | actor loss: -0.24 | actions: [27.4, 24.5, 26.9, 99.1, 22.1]
episode: 5 | episode reward: -52.55 | validation reward: -54.92 | actor loss: -0.11 | actions: [32.5, 19.6, 27.5, 98.0, 22.4]
episode: 6 | episode reward: -51.50 | validation reward: None | actor loss: 0.01 | actions: [32.9, 18.7, 29.2, 97.5, 21.7]
episode: 7 | episode reward: -47.30 | validation reward: None | actor loss: -0.06 | actions: [33.4, 19.2, 30.0, 96.0, 21.4]
episode: 8 | episode reward: -47.80 | validation reward: None | actor loss: 0.08 | actions: [36.9, 18.8, 27.6, 98.0, 18.7]
episode: 9 | episode reward: -42.60 | validation reward: None | actor loss: -0.07 | actions: [35.4, 18.6, 29.1, 100.1, 16.8]
episode: 10 | episode reward: -35.05 | validation reward: -37.28 | actor loss: -0.13 | actions: [34.4, 12.3, 26.8, 113.4, 13.1]
episode: 11 | episode reward: -27.75 | validation reward: None | actor loss: -0.07 | actions: [33.5, 15.7, 29.9, 105.3, 15.6]
episode: 12 | episode reward: -30.00 | validation reward: None | actor loss: 0.07 | actions: [32.1, 10.5, 35.0, 108.2, 14.2]
episode: 13 | episode reward: -20.30 | validation reward: None | actor loss: -0.18 | actions: [31.8, 10.4, 33.4, 113.5, 10.9]
episode: 14 | episode reward: -23.90 | validation reward: None | actor loss: 0.08 | actions: [32.6, 11.3, 36.1, 106.6, 13.4]
episode: 15 | episode reward: -20.85 | validation reward: -19.01 | actor loss: -0.03 | actions: [32.4, 9.5, 34.8, 115.1, 8.2]
episode: 16 | episode reward: -15.40 | validation reward: None | actor loss: -0.12 | actions: [36.9, 11.1, 34.4, 107.1, 10.5]
episode: 17 | episode reward: -16.70 | validation reward: None | actor loss: 0.02 | actions: [32.6, 8.9, 35.8, 114.6, 8.1]
episode: 18 | episode reward: -16.00 | validation reward: None | actor loss: -0.14 | actions: [33.6, 5.9, 33.0, 120.7, 6.8]
episode: 19 | episode reward: -10.85 | validation reward: None | actor loss: -0.08 | actions: [35.3, 6.1, 35.2, 119.1, 4.3]
episode: 20 | episode reward: -6.10 | validation reward: -8.03 | actor loss: -0.04 | actions: [35.5, 4.1, 34.7, 122.5, 3.2]
episode: 21 | episode reward: -5.70 | validation reward: None | actor loss: -0.04 | actions: [36.3, 6.7, 37.7, 115.4, 3.9]
episode: 22 | episode reward: -7.20 | validation reward: None | actor loss: -0.04 | actions: [39.0, 5.0, 35.4, 117.0, 3.6]
episode: 23 | episode reward: -6.60 | validation reward: None | actor loss: 0.00 | actions: [35.0, 5.6, 33.1, 123.9, 2.4]
episode: 24 | episode reward: -5.70 | validation reward: None | actor loss: 0.01 | actions: [36.7, 4.9, 35.7, 120.4, 2.3]
episode: 25 | episode reward: -1.85 | validation reward: -4.34 | actor loss: -0.08 | actions: [37.4, 5.2, 34.0, 118.4, 5.0]
episode: 26 | episode reward: -1.60 | validation reward: None | actor loss: -0.03 | actions: [36.3, 4.0, 33.4, 124.2, 2.1]
episode: 27 | episode reward: -6.00 | validation reward: None | actor loss: 0.14 | actions: [34.8, 5.2, 33.9, 122.1, 4.0]
episode: 28 | episode reward: -4.50 | validation reward: None | actor loss: -0.00 | actions: [35.6, 3.3, 33.3, 127.1, 0.7]
episode: 29 | episode reward: -0.60 | validation reward: None | actor loss: -0.16 | actions: [34.8, 5.4, 29.4, 123.9, 6.5]
episode: 30 | episode reward: -7.50 | validation reward: -2.40 | actor loss: 0.19 | actions: [38.0, 6.4, 34.1, 116.3, 5.2]
episode: 31 | episode reward: -4.60 | validation reward: None | actor loss: -0.05 | actions: [35.5, 8.5, 27.8, 123.1, 5.1]
episode: 32 | episode reward: -0.50 | validation reward: None | actor loss: -0.08 | actions: [38.2, 3.4, 30.9, 125.9, 1.6]
episode: 33 | episode reward: -1.50 | validation reward: None | actor loss: 0.12 | actions: [37.5, 6.0, 29.8, 121.1, 5.6]
episode: 34 | episode reward: -2.60 | validation reward: None | actor loss: 0.02 | actions: [37.2, 3.9, 33.5, 123.5, 1.9]
episode: 35 | episode reward: -2.20 | validation reward: -1.72 | actor loss: 0.06 | actions: [37.3, 4.6, 29.9, 125.1, 3.1]
episode: 36 | episode reward: -1.10 | validation reward: None | actor loss: -0.13 | actions: [34.7, 6.2, 32.7, 122.0, 4.4]
episode: 37 | episode reward: -2.70 | validation reward: None | actor loss: 0.02 | actions: [34.7, 3.2, 30.8, 129.9, 1.4]
episode: 38 | episode reward: -1.35 | validation reward: None | actor loss: 0.02 | actions: [37.1, 11.6, 32.9, 102.6, 15.8]
episode: 39 | episode reward: -4.00 | validation reward: None | actor loss: 0.02 | actions: [36.4, 5.9, 39.0, 115.0, 3.7]
episode: 40 | episode reward: -2.00 | validation reward: -0.87 | actor loss: -0.05 | actions: [32.6, 3.9, 36.3, 124.7, 2.5]
episode: 41 | episode reward: 0.70 | validation reward: None | actor loss: -0.05 | actions: [35.7, 6.4, 34.3, 116.4, 7.2]
episode: 42 | episode reward: 2.70 | validation reward: None | actor loss: -0.07 | actions: [36.1, 11.1, 30.1, 111.5, 11.2]
episode: 43 | episode reward: -4.50 | validation reward: None | actor loss: 0.12 | actions: [36.3, 4.6, 35.4, 121.9, 1.8]
episode: 44 | episode reward: -1.90 | validation reward: None | actor loss: -0.06 | actions: [34.7, 1.5, 34.3, 128.6, 0.9]
episode: 45 | episode reward: 0.60 | validation reward: -0.72 | actor loss: -0.09 | actions: [38.1, 4.6, 31.4, 120.5, 5.4]
